RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
6396,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,female,White,DK/REF,White,,,33.50028753,-112.07157569,POINT (-112.07157569 33.50028753)
6008,Observation Tool,App,01/27/2020,2020,Phoenix,18-24,18-24,male,White,Yes,White,,,33.451160999,-112.082198479,POINT (-112.082198479 33.451160999)
6808,Observation Tool,App,01/27/2020,2020,Chandler,62+,25+,male,Black or African American,No,Black or African American,,,33.318723364,-111.963515581,POINT (-111.963515581 33.318723364)
4894,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,White,No,White,No,true,33.42915804,-111.89035994,POINT (-111.89035994 33.42915804)
6493,Observation Tool,App,01/27/2020,2020,Mesa,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.43489573,-111.86216688,POINT (-111.86216688 33.43489573)
5894,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.447091389,-111.966590267,POINT (-111.966590267 33.447091389)
6168,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.569700234,-112.06572664,POINT (-112.06572664 33.569700234)
5055,Interview,App,01/27/2020,2020,Chandler,55-61,25+,male,Black or African American,No,Black or African American,No,,33.300163876,-111.841327837,POINT (-111.841327837 33.300163876)
5151,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,No,,33.494406142,-112.167284377,POINT (-112.167284377 33.494406142)
4944,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,true,33.49440538,-112.16936942,POINT (-112.16936942 33.49440538)
6670,Observation Tool,App,01/27/2020,2020,Phoenix,62+,25+,female,Black or African American,No,Black or African American,,,33.4608306,-112.07365218,POINT (-112.07365218 33.4608306)
5277,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,true,33.582127043,-112.117242829,POINT (-112.117242829 33.582127043)
5380,Interview,App,01/27/2020,2020,Mesa,55-61,25+,male,White,No,White,No,true,33.407658348,-111.83362294,POINT (-111.83362294 33.407658348)
5206,Interview,App,01/27/2020,2020,Tempe,25-54,25+,female,Multiple Races,No,Multiple Races,No,,33.3843512,-111.90150756,POINT (-111.90150756 33.3843512)
7017,Interview,Paper,01/27/2020,2020,Chandler,0-17,0-17,female,Black or African American,No,Black or African American,,,33.334914,-111.842021,POINT (-111.842021 33.334914)
5738,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44580987,-112.08698019,POINT (-112.08698019 33.44580987)
6290,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,Yes,White,,,33.426257162,-112.078178544,POINT (-112.078178544 33.426257162)
