Place Name,Geo Id,Geography Type,Year,Year (Date),Variable Code,Variable Label,Field Name,Variable Concept,Annotation,Value,Percent Change,Difference,Centroid,Internal Point,Geometry
,1400000US04013422654,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,108578,,,POINT (-111.67038361308634 33.357667063261474),POINT (-111.67035944638663 33.355998),"MULTIPOLYGON (((-111.687671 33.365018, -111.670693 33.364904, -111.660443 33.364815, -111.653368 33.364776, -111.653104 33.350302, -111.661825 33.350369, -111.66618 33.350402, -111.670581 33.350442, -111.68028 33.350528, -111.687428 33.350569, -111.687594 33.361427, -111.687615 33.362125, -111.687671 33.365018)))"
,1400000US04013420709,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,36900,-0.09,-3572,POINT (-111.7624121636682 33.411845278400165),POINT (-111.76241776932395 33.411136),"MULTIPOLYGON (((-111.771105 33.409902, -111.771073 33.415453, -111.762504 33.415491, -111.76136 33.415495, -111.753696 33.415521, -111.753707 33.414488, -111.753722 33.413088, -111.753729 33.41237, -111.753758 33.408234, -111.762452 33.4082, -111.771116 33.408166, -111.771105 33.409902)))"
,1400000US04013420401,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,45795,0.19,7307,POINT (-111.82604536445075 33.457305545090975),POINT (-111.82876033058712 33.4615375),"MULTIPOLYGON (((-111.841303 33.460019, -111.836783 33.460629, -111.835399 33.458774, -111.835404 33.459306, -111.835069 33.462446, -111.831044 33.462511, -111.828715 33.462519, -111.827002 33.46686, -111.826428 33.466531, -111.826419 33.469826, -111.822094 33.469848, -111.822096 33.466602, -111.822249 33.466574, -111.822334 33.464411, -111.822365 33.460115, -111.822372 33.458838, -111.813572 33.458927, -111.813637 33.454293, -111.805704 33.454208, -111.806138 33.453446, -111.808007 33.451501, -111.822416 33.451492, -111.831095 33.45147, -111.839732 33.451447, -111.839655 33.455084, -111.839605 33.457074, -111.841303 33.460019)))"
,1400000US04013422640,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,61533,0.04,2134,POINT (-111.64476248206978 33.37194780523354),POINT (-111.64475973668422 33.371804),"MULTIPOLYGON (((-111.65362 33.379213, -111.648761 33.379197, -111.6362 33.379106, -111.636098 33.375515, -111.636019 33.371993, -111.63606 33.371644, -111.635925 33.364655, -111.644204 33.364715, -111.653359 33.364814, -111.653481 33.371964, -111.65362 33.379213)))"
,1400000US04013420213,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,47561,0.00,140,POINT (-111.72775672300382 33.41917611052336),POINT (-111.72775431210542 33.417410000000004),"MULTIPOLYGON (((-111.736405 33.422784, -111.725589 33.422854, -111.719082 33.422796, -111.719103 33.419264, -111.719119 33.415556, -111.719959 33.415552, -111.727744 33.415529, -111.736395 33.415498, -111.736405 33.422784)))"
,1400000US04013319904,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,98578,0.15,13066,POINT (-111.90229909309848 33.37105102729446),POINT (-111.90256961178551 33.367511),"MULTIPOLYGON (((-111.911292 33.372239, -111.911194 33.37409, -111.909394 33.376953, -111.909244 33.378425, -111.902781 33.378452, -111.900633 33.378455, -111.894234 33.37846, -111.893247 33.378466, -111.893716 33.371688, -111.893698 33.371178, -111.89407 33.363844, -111.894591 33.363836, -111.902602 33.363794, -111.911226 33.363754, -111.911292 33.372239)))"
,1400000US04013420114,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,52731,0.14,6394,POINT (-111.65004430532339 33.41877938213328),POINT (-111.65003375618022 33.4199825),"MULTIPOLYGON (((-111.667416 33.418676, -111.667393 33.422438, -111.658708 33.422418, -111.650014 33.4224, -111.641346 33.422385, -111.637 33.422381, -111.636305 33.422378, -111.63266 33.42237, -111.632663 33.421228, -111.632656 33.418737, -111.632697 33.416995, -111.632699 33.415394, -111.632688 33.415121, -111.637027 33.415131, -111.637046 33.415131, -111.640827 33.415138, -111.641977 33.415142, -111.646893 33.415152, -111.650057 33.415158, -111.658745 33.415174, -111.660349 33.415177, -111.664299 33.41518, -111.667434 33.415185, -111.667416 33.418676)))"
,1400000US04013420504,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,74487,0.02,1193,POINT (-111.80976199375608 33.442556172592624),POINT (-111.81030297892963 33.443159),"MULTIPOLYGON (((-111.816491 33.442096, -111.813772 33.445022, -111.809887 33.448976, -111.808007 33.451501, -111.804893 33.451506, -111.805037 33.445596, -111.805072 33.444222, -111.80528 33.437033, -111.80528 33.434354, -111.807869 33.435962, -111.809342 33.43656, -111.809698 33.43665, -111.813958 33.436771, -111.816055 33.436808, -111.816885 33.441125, -111.816491 33.442096)))"
,1400000US04013421801,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,70813,-0.00,-113,POINT (-111.79685702686969 33.397101808872975),POINT (-111.79685696613953 33.397104999999996),"MULTIPOLYGON (((-111.805386 33.400605, -111.801539 33.400669, -111.796842 33.400723, -111.788303 33.400848, -111.788296 33.393605, -111.796881 33.393473, -111.805445 33.393372, -111.805386 33.400605)))"
,1400000US04013422302,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,58459,0.13,6735,POINT (-111.79705332669599 33.38613431312597),POINT (-111.79693119415711 33.3862165),"MULTIPOLYGON (((-111.807262 33.378929, -111.805694 33.383082, -111.80554 33.386021, -111.805542 33.38629, -111.805445 33.393372, -111.796881 33.393473, -111.788296 33.393605, -111.788318 33.386419, -111.788322 33.386143, -111.788354 33.379012, -111.807233 33.378929, -111.807262 33.378929)))"
